"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 15 12:50:03 MSK 2021","Thu Apr 15 12:50:04 MSK 2021","748","test","test_del_contact","","","","test_delete_some_contact_db",""
"passed","Thu Apr 15 12:49:59 MSK 2021","Thu Apr 15 12:50:01 MSK 2021","1184","test","test_add_group","","","","test_add_group_db[None:namevz-A4yzb#;header  c 7BbvQufr;footer9J5  ]",""
"passed","Thu Apr 15 12:50:11 MSK 2021","Thu Apr 15 12:50:13 MSK 2021","2478","test","test_del_group","","","","test_delete_some_group",""
"passed","Thu Apr 15 12:50:20 MSK 2021","Thu Apr 15 12:50:22 MSK 2021","2613","test","test_modify_group","","","","test_modify_group_name",""
"passed","Thu Apr 15 12:50:22 MSK 2021","Thu Apr 15 12:50:23 MSK 2021","663","test","test_phones","","","","test_phones_on_home_page",""
"failed","Thu Apr 15 12:49:48 MSK 2021","Thu Apr 15 12:49:49 MSK 2021","1016","test","test_add_contact","","","","test_add_contact_db[None:lastnameE @sea<M[( oik}U;firstname>GBTHfNF]",""
"passed","Thu Apr 15 12:50:18 MSK 2021","Thu Apr 15 12:50:20 MSK 2021","1186","test","test_modify_group","","","","test_modify_group_name_db",""
"passed","Thu Apr 15 12:49:45 MSK 2021","Thu Apr 15 12:49:46 MSK 2021","825","test","test_add_contact","","","","test_add_contact_db[None:;]",""
"passed","Thu Apr 15 12:50:01 MSK 2021","Thu Apr 15 12:50:02 MSK 2021","1482","test","test_contact_info","","","","test_all_info_on_page",""
"passed","Thu Apr 15 12:50:04 MSK 2021","Thu Apr 15 12:50:07 MSK 2021","2512","test","test_del_contact","","","","test_delete_some_contact",""
"failed","Thu Apr 15 12:49:46 MSK 2021","Thu Apr 15 12:49:47 MSK 2021","1134","test","test_add_contact","","","","test_add_contact_db[None:lastname# 4U)WbaaeO0;firstnameAcr3Gd]",""
"passed","Thu Apr 15 12:50:16 MSK 2021","Thu Apr 15 12:50:18 MSK 2021","2757","test","test_modify_contact","","","","test_modify_some_contact",""
"passed","Thu Apr 15 12:49:57 MSK 2021","Thu Apr 15 12:49:58 MSK 2021","1222","test","test_add_group","","","","test_add_group_db[None:nameyxo0;headerV[lqZ9#fl;footer2l]",""
"passed","Thu Apr 15 12:50:07 MSK 2021","Thu Apr 15 12:50:09 MSK 2021","1906","test","test_del_contact_from_group","","","","test_del_contact_from_group",""
"failed","Thu Apr 15 12:50:22 MSK 2021","Thu Apr 15 12:50:22 MSK 2021","3","test","test_phones","","","","test_info_on_home_page_db",""
"passed","Thu Apr 15 12:50:02 MSK 2021","Thu Apr 15 12:50:03 MSK 2021","1125","test","test_db_matches_ui","","","","test_group_list",""
"broken","Thu Apr 15 12:49:52 MSK 2021","Thu Apr 15 12:49:53 MSK 2021","1043","test","test_add_contact_in_group","","","","test_add_contact_in_group",""
"passed","Thu Apr 15 12:49:47 MSK 2021","Thu Apr 15 12:49:48 MSK 2021","1134","test","test_add_contact","","","","test_add_contact_db[None:lastnameQ;firstname*]",""
"passed","Thu Apr 15 12:49:55 MSK 2021","Thu Apr 15 12:49:57 MSK 2021","1182","test","test_add_group","","","","test_add_group_db[None:namer LSeV;headeruk;footerRw ]",""
"passed","Thu Apr 15 12:50:09 MSK 2021","Thu Apr 15 12:50:11 MSK 2021","1718","test","test_del_group","","","","test_delete_some_group_db",""
"passed","Thu Apr 15 12:50:14 MSK 2021","Thu Apr 15 12:50:16 MSK 2021","1046","test","test_modify_contact","","","","test_modify_some_contact_db",""
"passed","Thu Apr 15 12:49:49 MSK 2021","Thu Apr 15 12:49:51 MSK 2021","1151","test","test_add_contact","","","","test_add_contact_db[None:lastnamel><n THlp=;firstnameZ]T|X31O]",""
"passed","Thu Apr 15 12:50:13 MSK 2021","Thu Apr 15 12:50:14 MSK 2021","1348","test","test_del_group","","","","test_delete_first_group",""
"passed","Thu Apr 15 12:49:58 MSK 2021","Thu Apr 15 12:49:59 MSK 2021","1281","test","test_add_group","","","","test_add_group_db[None:name;headerCeyG b;footerz Vc f2hA]",""
"passed","Thu Apr 15 12:49:54 MSK 2021","Thu Apr 15 12:49:55 MSK 2021","1134","test","test_add_group","","","","test_add_group_db[None:name G;header,K?h^;footerTV|KB7FA;i?o]",""
"passed","Thu Apr 15 12:49:51 MSK 2021","Thu Apr 15 12:49:52 MSK 2021","1074","test","test_add_contact","","","","test_add_contact_db[None:lastnameXTer;firstnameHDn>2djaw]",""
"passed","Thu Apr 15 12:49:53 MSK 2021","Thu Apr 15 12:49:54 MSK 2021","1317","test","test_add_group","","","","test_add_group_db[None:;;]",""
